size,iterations,nodes,omp_threads,time
500,50,2,8,0.073168
1000,50,2,8,0.266472
1000,50,2,8,0.284255
1000,50,2,8,0.28413
1000,50,2,8,0.268619
1000,50,2,8,0.267291
1000,50,2,8,0.284763
1000,50,2,8,0.267761
1000,50,2,8,0.284556
1000,50,2,8,0.276758
1000,50,2,8,0.283754
2000,50,2,8,1.079403
2000,50,2,8,1.109512
2000,50,2,8,1.08433
2000,50,2,8,1.098763
2000,50,2,8,1.088484
2000,50,2,8,1.110633
2000,50,2,8,1.084843
2000,50,2,8,1.070485
2000,50,2,8,1.07119
2000,50,2,8,1.100484
3000,50,2,8,2.426539
3000,50,2,8,2.413712
3000,50,2,8,2.425458
3000,50,2,8,2.414965
3000,50,2,8,2.423562
3000,50,2,8,2.412753
3000,50,2,8,2.416643
3000,50,2,8,2.410174
3000,50,2,8,2.414202
3000,50,2,8,2.420811
500,100,2,8,0.136248
500,100,2,8,0.135073
500,100,2,8,0.128051
500,100,2,8,0.128169
500,100,2,8,0.135731
500,100,2,8,0.127236
500,100,2,8,0.127134
500,100,2,8,0.135559
500,100,2,8,0.12859
500,100,2,8,0.12797
1000,100,2,8,0.499862
1000,100,2,8,0.529605
1000,100,2,8,0.496988
